timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1538518141372,963,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,1,1,304,0,32
1538518142336,886,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,2,2,304,0,32
1538518142869,885,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,2,2,301,0,31
1538518143222,915,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,2,2,306,0,29
1538518143755,970,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,3,3,309,0,33
1538518144138,999,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,3,3,320,0,29
1538518144369,963,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,3,3,333,0,34
1538518144726,1020,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,3,3,317,0,30
1538518145137,1112,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,4,4,406,0,33
1538518145332,1015,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,4,4,300,0,32
1538518145747,1117,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,4,4,409,0,29
1538518145871,1130,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,4,4,424,0,33
1538518146250,1229,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,5,5,474,0,35
1538518146347,1207,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,5,5,475,0,32
1538518146865,1324,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,5,5,411,0,38
1538518147002,1267,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,5,5,388,0,37
1538518147370,1256,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,5,5,425,0,34
1538518147555,1276,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,5,5,457,0,30
