timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1534797975733,1597,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,2,2,1597,0,210
1534797977331,1443,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,3,3,1443,0,0
1534797978133,1537,POST /purchases,200,OK,Point of Sales API 1-3,text,true,,443,1953,4,4,1537,0,59
1534797978775,1030,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,4,4,1030,0,56
1534797979805,1392,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,5,5,1392,0,0
1534797976933,4943,POST /purchases,200,OK,Point of Sales API 1-2,text,true,,443,1953,6,6,4943,0,49
1534797981197,4366,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,9,9,4365,0,54
1534797979334,6239,POST /purchases,200,OK,Point of Sales API 1-4,text,true,,443,1953,9,9,6239,0,58
1534797980533,5155,POST /purchases,200,OK,Point of Sales API 1-5,text,true,,443,1953,9,9,5155,0,59
1534797982936,3768,POST /purchases,200,OK,Point of Sales API 1-7,text,true,,443,1953,10,10,3768,0,56
1534797985563,1248,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,10,10,1248,0,48
1534797986536,1432,POST /purchases,200,OK,Point of Sales API 1-10,text,true,,443,1953,11,11,1432,0,56
1534797987737,1570,POST /purchases,200,OK,Point of Sales API 1-11,text,true,,443,1953,12,12,1570,0,54
1534797986812,3198,POST /purchases,200,OK,Point of Sales API 1-1,text,true,,443,1953,12,12,3198,0,0
1534797986704,3670,POST /purchases,200,OK,Point of Sales API 1-7,text,true,,443,1953,13,13,3670,0,58
1534797988937,1696,POST /purchases,200,OK,Point of Sales API 1-12,text,true,,443,1953,13,13,1695,0,55
1534797990136,964,POST /purchases,200,OK,Point of Sales API 1-13,text,true,,443,1953,13,13,964,0,57
